1 3 0 0
1 4 0 1
1 5 0 0
1 2 2 7
1 1 3 7
1 8 4 2
1 1 5 8
1 6 5 10
1 7 5 0
1 8 5 4
1 1 8 8
1 9 9 14
2 3 0 23
2 9 2 24
2 8 6 24
3 1 0 1
3 0 1 1
3 1 2 7
3 5 3 7
3 3 5 4
3 4 5 1
3 5 5 4
3 0 5 0
3 0 6 0
3 4 8 4
3 6 8 1
3 8 8 1
3 7 9 4
3 9 1 4
3 10 2 1
3 10 3 4
3 10 4 1
4 1 0 2
4 9 0 2
4 2 3 7
4 4 3 5
4 5 3 6
4 6 3 5
4 8 3 7
4 0 4 4
4 5 4 5
4 10 4 4
4 0 5 4
4 10 5 4
4 0 6 1
4 4 6 14
4 5 6 17
4 6 6 14
4 10 6 1
4 5 7 14
4 3 10 2
4 7 10 2
5 5 0 10
5 8 0 10
5 4 1 10
5 9 1 10
5 0 2 5
5 4 2 8
5 2 3 10
5 5 3 8
5 8 3 14
5 9 3 8
5 0 4 5
5 10 4 8
5 5 5 4
5 6 5 7
5 3 6 2
5 3 7 2
5 8 7 14
5 9 7 17
5 3 8 4
5 5 9 4
5 2 10 4
6 1 0 9
6 6 0 3
6 0 1 9
6 7 1 3
6 9 1 16
6 10 2 16
6 1 2 6
6 5 2 6
6 3 3 17
6 9 3 13
6 2 5 11
6 8 5 11
6 2 7 5
6 4 7 5
6 2 9 5
7 3 1 6
7 7 1 9
7 2 2 6
7 8 2 9
7 5 2 20
7 3 4 20
7 7 4 20
7 5 6 20
8 9 0 9
8 4 3 12
8 8 3 5
8 10 3 2
8 0 4 5
8 10 4 2
8 0 5 6
8 0 6 5
8 2 6 2
8 9 6 6
8 2 7 2
8 6 7 17
8 4 8 9
8 6 8 9
8 2 10 12
8 7 10 3
8 8 10 20
8 9 10 3
9 2 1 15
9 10 1 9
9 1 6 13
9 4 6 12
9 0 8 9
9 2 8 9
9 1 9 9
9 4 9 16
9 5 9 12
9 6 9 16
9 10 9 9
9 2 10 9
9 5 10 16
10 4 0 15
10 6 0 15
10 10 1 13
10 9 2 13
10 0 4 5
10 0 5 6
10 0 6 5
10 9 6 6
10 7 8 6
10 6 9 12
10 8 9 12
11 8 1 18
11 9 1 19
11 10 1 18
11 9 2 18
11 3 6 18
11 5 6 25
11 7 6 18
11 2 7 15
11 8 7 15
11 2 8 15
11 8 8 15
12 4 0 24
12 5 0 23
12 6 0 24
12 5 2 23
12 1 3 25
12 9 3 26
12 0 4 25
12 1 4 21
12 9 4 27
12 10 4 26
12 1 8 25
12 3 8 18
12 4 8 18
12 5 8 19
12 6 8 18
12 7 8 18
12 9 8 25
13 1 0 25
13 9 0 21
13 4 2 18
13 0 4 24
13 4 4 21
13 6 4 18
13 0 5 23
13 3 5 22
13 6 5 19
13 0 6 24
13 2 6 21
13 6 6 18
13 1 8 24
13 7 8 21
13 8 10 22
14 2 0 26
14 5 5 21
14 5 6 22
14 5 7 21
14 1 9 18
14 2 9 19
14 3 9 18
14 7 9 18
14 8 9 19
14 9 9 18
16 5 5 29
17 1 0 26
17 2 0 22
17 10 0 26
17 1 1 22
17 3 2 26
17 10 2 26
17 5 4 26
17 9 4 26
17 3 5 26
17 7 6 26
17 9 6 26
17 1 7 22
17 1 8 26
17 2 8 22
17 4 8 28
17 7 8 26
17 10 8 26
17 2 10 28
17 10 10 26
19 2 5 30
19 8 5 30
19 5 6 31
20 0 0 28
20 2 0 20
20 4 0 22
20 6 0 22
20 8 0 20
20 10 0 28
20 2 2 20
20 4 2 26
20 6 2 26
20 8 2 20
20 0 4 22
20 2 4 26
20 7 4 26
20 10 4 22
20 0 6 22
20 2 6 26
20 8 6 26
20 10 6 22
20 2 8 20
20 4 8 26
20 6 8 26
20 8 8 20
20 0 10 28
20 2 10 20
20 4 10 22
20 6 10 22
20 8 10 20
20 10 10 28
21 5 2 32
21 5 3 27
21 5 4 27
